question;answer;count;cluster;sentiment;corrected
Name 3 most important skills that you expect you will need in your future job.;open-mindedness;1;open mindedness;positives;open mindedness
Name 3 most important skills that you expect you will need in your future job.;patience;1;patience;positives;
Name 3 most important skills that you expect you will need in your future job.;perseverance;1;perseverance;positives;
Name 3 most important skills that you expect you will need in your future job.;responsibility;2;responsibility;neutrals;
Name 3 most important skills that you expect you will need in your future job.;soft;1;soft skills;neutrals;
Name 3 most important skills that you expect you will need in your future job.;soft skills;2;soft skills;neutrals;
Name 3 most important skills that you expect you will need in your future job.;stress resistance;1;stress resistance;positives;
С чем у Вас ассоциируется прошедшая сессия?;функционал;1;функционал;neutrals;
С чем у Вас ассоциируется прошедшая сессия?;хорошей возможностью подумать;1;хорошей возможностью подумать;positives;
С чем у Вас ассоциируется прошедшая сессия?;цели;1;цели;neutrals;
С чем у Вас ассоциируется прошедшая сессия?;цель;1;цели;neutrals;
С чем у Вас ассоциируется прошедшая сессия?;шан на движение вперед;1;шанс на движение вперед;positives;шанс на движение вперед
С чем у Вас ассоциируется прошедшая сессия?;напряжение;1;напряжение;negatives;
С чем у Вас ассоциируется прошедшая сессия?;удобство;1;удобство;positives;
Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.;руководитель отдела;1;руководитель отдела;neutrals;
Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.;создаёт творческую атмосферу;1;создаёт творческую атмосферу;neutrals;
Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.;стремится сам;1;стремится сам;neutrals;
Кто для Вас лидер по культуре безопасности? Что отличает лидера, что конкретно он делает, напишите 1-2 глагола / Who is the leader in safety culture for you? What distinguishes a leader, what exactly does he do, write 1-2 verbs.;человек делающий правильно пра;1;человек делающий правильно пра;positives;
1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?;понимание своего влияния;1;понимание своего влияния;neutrals;
1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?;практические навыки;1;практические навыки;neutrals;
1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?;психологич;1;психологические;neutrals;психологические
1. Топ 3 дефицита компетенций по безопасности у молодых сотрудников, которые приходят в отрасль? / Top 3 safety competencies gaps among young employees entering the industry?;чф;1;чф;neutrals;
Ключевые ассоциации с либерально-идеалистической парадигмой;свобода актора;2;свобода актора;positives;
Ключевые ассоциации с либерально-идеалистической парадигмой;свобода идея люди рынок мир;1;свобода идея люди рынок мир;positives;
Ключевые ассоциации с либерально-идеалистической парадигмой;свобода права и морали;1;свобода права и морали;positives;
Ключевые ассоциации с либерально-идеалистической парадигмой;свободное право;1;свободное право;positives;
Ключевые ассоциации с либерально-идеалистической парадигмой;сотрудничество;2;сотрудничество;positives;
Ключевые ассоциации с либерально-идеалистической парадигмой;универсальные ценности;1;универсальные ценности;neutrals;
Ключевые ассоциации с либерально-идеалистической парадигмой;частная собственность;2;частная собственность;neutrals;
Опишите одним словом ваше текущее состояние;сложно;1;сложно;negatives;
Опишите одним словом ваше текущее состояние;тяжело;1;сложно;negatives;
Опишите одним словом ваше текущее состояние;смятение;2;смятение;negatives;
Опишите одним словом ваше текущее состояние;собранность;2;сосредоточенность;positives;
Опишите одним словом ваше текущее состояние;сосредоточенность;2;сосредоточенность;positives;
Опишите одним словом ваше текущее состояние;сожаление;1;сожаление;neutrals;
Опишите одним словом ваше текущее состояние;стабильно;3;стабильное;neutrals;
Опишите одним словом ваше текущее состояние;стабильное;15;стабильное;positives;
Опишите одним словом ваше текущее состояние;стабильность;3;стабильное;positives;
Опишите одним словом ваше текущее состояние;стагнация;1;стагнация;negatives;
Опишите одним словом ваше текущее состояние;стараюсь отвлечься;1;стараюсь отвлечься;neutrals;
Опишите одним словом ваше текущее состояние;стресс;18;стресс;negatives;
Опишите одним словом ваше текущее состояние;твик из южного парка;1;твик из южного парка;neutrals;
Опишите одним словом ваше текущее состояние;текущее положение в стране;1;текущее положение в стране;neutrals;
Опишите одним словом ваше текущее состояние;только вперед);1;только вперед;positives;только вперед
Опишите одним словом ваше текущее состояние;ультрамыслительное;1;ультрамыслительное;neutrals;
Опишите одним словом ваше текущее состояние;упадок;1;упадок;negatives;
Опишите одним словом ваше текущее состояние;упадок сил;1;упадок;negatives;
Опишите одним словом ваше текущее состояние;хаос;1;хаос;negatives;
Опишите одним словом ваше текущее состояние;целеустремленность;1;целеустремлённость;positives;
Опишите одним словом ваше текущее состояние;целеустремлённость;1;целеустремлённость;positives;
Опишите одним словом ваше текущее состояние;цели понятны;1;цели понятны;positives;
Опишите одним словом ваше текущее состояние;частые перепады настроения;1;частые перепады настроения;negatives;
Опишите одним словом ваше текущее состояние;эмоциональная мясорубка;1;частые перепады настроения;negatives;
Опишите одним словом ваше текущее состояние;шок;2;шок;neutrals;
Ключевые ассоциации с парадигмой политического реализма (5 слов);пессимизм;1;пессимизм;neutrals;
Ключевые ассоциации с парадигмой политического реализма (5 слов);поиск;1;поиск;neutrals;
Ключевые ассоциации с парадигмой политического реализма (5 слов);политика;1;политика;neutrals;
Ключевые ассоциации с парадигмой политического реализма (5 слов);политические деятели;1;политические деятели;neutrals;
Ключевые ассоциации с парадигмой политического реализма (5 слов);президенты;1;президенты;neutrals;
Ключевые ассоциации с парадигмой политического реализма (5 слов);равноправие;1;равноправие;positives;
Ключевые ассоциации с парадигмой политического реализма (5 слов);рациональность;1;рациональность;neutrals;
Ключевые ассоциации с парадигмой политического реализма (5 слов);развитие;1;развитие;positives;
Ключевые ассоциации с парадигмой политического реализма (5 слов);решение;1;решение;neutrals;
Ключевые ассоциации с парадигмой политического реализма (5 слов);сила;2;сила;positives;
Ключевые ассоциации с парадигмой политического реализма (5 слов);сотрудничество;2;сотрудничество;positives;
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;развитие it;1;развитие it;positives;
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;тем. встречи квиз;1;тематические встречи опрос;neutrals;тематические встречи опрос
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;тех. туры;1;технические туры;neutrals;технические туры
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;технические туры на аэс;1;технические туры на аэс;neutrals;
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;технические туры на аэс и т.д.;1;технические туры на аэс;neutrals;технические туры на аэс и т д
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;техтуры;1;технические туры;neutrals;
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;туристическое тех.туры;1;технические туры;neutrals;туристическое технические туры
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;участие в разрешении проблем;1;участие в разрешении проблем;neutrals;
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;цех;1;цех;neutrals;
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;цифровизация;1;цифровизация;neutrals;
Какие направления работы, на ваш взгляд, обязательно должны быть в деятельности Совета молодежи?;чтгдк-да...;1;чтгдк да;neutrals;чтгдк да
Напишите ваши ожидания от курса в 2х словах?;новые возможности;1;новые возможности;positives;
Напишите ваши ожидания от курса в 2х словах?;новые смыслы образовательных с;1;новые смыслы образовательных с;neutrals;
Напишите ваши ожидания от курса в 2х словах?;профильный летний лагерь;1;профильный летний лагерь;neutrals;
Напишите ваши ожидания от курса в 2х словах?;содержательно;1;содержательно;positives;
"Напишите свою ассоциацию со словом ""бюрократ""";сразунеподписывающий;1;сразу не подписывающий;neutrals;сразу не подписывающий
"Напишите свою ассоциацию со словом ""бюрократ""";срок;1;сроки;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";сроки;1;сроки;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";стабильный;1;стабильный;positives;
"Напишите свою ассоциацию со словом ""бюрократ""";стандарт;1;стандарт;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";стандартизация;1;стандарт;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";стена;1;стена;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";стиль жизни;1;стиль жизни;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";стол;1;стол;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";столодержатель;3;столодержатель;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";страх;3;страх;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";трус;3;трус;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";трусость;1;трус;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";трусишка;1;трус;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";суета;2;суета;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";тугодум;2;тугодум;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";существование;1;существование;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";тщетный;1;тщетный;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";табличка;1;табличка;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";удовлетворение своих желаний;1;удовлетворение своих желаний;positives;
"Напишите свою ассоциацию со словом ""бюрократ""";типичный;1;типичный;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";узколобость;1;узколобый;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";узколобый;1;узколобый;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";тиран;1;тиран;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";узп;1;узп;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";товарищ дынин (из фильма);1;товарищ дынин из фильма;neutrals;товарищ дынин из фильма
"Напишите свою ассоциацию со словом ""бюрократ""";уклонист;1;уклонист;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";толстолобый;1;толстолобый;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";умник;1;умник;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";топ-менеджмент;1;топ менеджмент;neutrals;топ менеджмент
"Напишите свою ассоциацию со словом ""бюрократ""";усложнение;10;усложняющий;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";усложнение своей работы и друг;1;усложняющий;negatives;усложнение своей работы и других
"Напишите свою ассоциацию со словом ""бюрократ""";усложнитель;4;усложняющий;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";усложняющий;3;усложняющий;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";усложняющий простые процессы;1;усложняющий;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";человек усложняющий всем жизнь;1;усложняющий;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";трудозатратный;1;трудозатраты;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";трудозатраты;1;трудозатраты;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";усталость;1;усталость;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";утомительный;2;усталость;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";чрезмерные трудозатраты;1;трудозатраты;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";энергозатратность;1;трудозатраты;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";утопия;1;утопия;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";утративший цель;1;утративший цель;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";ущерб;1;ущерб;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";ущерб дела;1;ущерб;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";фаервол;1;фаервол;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";фарфуркис - сказка о тройке;1;фарфуркис сказка о тройке;neutrals;фарфуркис сказка о тройке
"Напишите свою ассоциацию со словом ""бюрократ""";фильтр;1;фильтр;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";функция;1;функция;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";функционер;3;функционер;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";футболист;1;футболист;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";ханжество;1;ханжество;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";цепкий;1;цепкий;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";человек;7;человек;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";человек в футляре;1;человек в футляре;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";человек с раздутым эго;1;человек с раздутым эго;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";эгоист;1;эгоист;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";червь;1;червь;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";чин;1;чин;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";чинопочитание;1;чинопочитание;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";чопорный;2;чопорный;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";швондер;4;швондер;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";щелкопер;1;щелкопер;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";энергосос;1;энергосос;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";энтропия;1;энтропия;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";юридическая безопасность;1;юридическая безопасность;positives;
"Напишите свою ассоциацию со словом ""бюрократ""";юристы;1;юристы;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";якорь;5;якорь;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";бурная деятельность;1;бурная деятельность;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";бракодел;1;бракодел;negatives;
"Напишите свою ассоциацию со словом ""бюрократ""";бредятинан;1;бредятина;negatives;бредятина
"Напишите свою ассоциацию со словом ""бюрократ""";графики;1;графики;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";москва;1;москва;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";муниципалы;1;муниципалы;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";осторожность;1;осторожность;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";смысл;1;смысл;neutrals;
"Напишите свою ассоциацию со словом ""бюрократ""";тщательность;1;тщательность;positives;
Напишите 3 (три) ваши ассоциации с Китаем;украсть технологии задешево;1;украсть технологии задешево;negatives;
Напишите 3 (три) ваши ассоциации с Китаем;четко знают свою выгоду;1;четко знают свою выгоду;positives;
Напишите 3 (три) ваши ассоциации с Китаем;шанхай;1;шанхай;neutrals;
Напишите 3 (три) ваши ассоциации с Китаем;шаолинь;1;шаолинь;neutrals;
Напишите 3 (три) ваши ассоциации с Китаем;экономика;1;экономика;neutrals;
"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)";владеющий;1;владеющий;neutrals;
"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)";донецк;1;донецк;neutrals;
"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)";интеллект;1;интеллект;positives;
"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)";образование;1;образование;neutrals;
"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)";отсутствие ошибок;1;отсутствие ошибок;positives;
"Какая ассоциация у вас со словом ""грамотность""? (1-2 слова)";современность;1;современность;neutrals;
Откуда вы? (Город);евпатория;1;евпатория;neutrals;
Откуда вы? (Город);могилев;2;могилев;neutrals;
Откуда вы? (Город);могилев беларусь;1;могилев;neutrals;
Откуда вы? (Город);москва;2;москва;neutrals;
Откуда вы? (Город);реутов;1;реутов;neutrals;
Откуда вы? (Город);санк-петербург;1;санкт петербург;neutrals;санкт петербург
Откуда вы? (Город);санкт-петербург;1;санкт петербург;neutrals;санкт петербург
Как настроение?;бодрое морозное;1;бодрое морозное;positives;
Как настроение?;всё клубнично как обычно;1;прекрасно;positives;
Как настроение?;замечательно;1;прекрасно;positives;
Как настроение?;замечательное;1;прекрасно;positives;
Как настроение?;круто;1;прекрасно;positives;
Как настроение?;кул;1;прекрасно;positives;
